number,meters
250001115291,8.28
250001115293,12.8
250001115294,10
250001115295,0.3
250001115296,3.6
250001115298,0.2
250001115299,2
250001115300,6.4
250001115301,0.51
250001115302,12.8
250001115303,4.5
250001115309,12.8
250001115311,5
250001115312,9.8
250001115315,8.9
250001115318,9.6
250001115319,13.6
250001115320,12.8
250001115321,11.2
250001115322,1.06
250001115323,6
250001115326,1
250001115331,12.8
250001115332,0.4
250001115333,9.6
250001115334,13.4
250001115335,13.4
250001115336,0.6
250001115339,12.8
250001115341,10.04
250001115342,7.2
250001115343,6.4
250001115344,3.05
250001115345,0
250001115347,11.73
250001115349,12.1
250001115350,1.13
250001115351,1
250001115355,8.93
250001115356,6.67
250001115357,12.8
250001115359,1.4
250001115360,7.1
250001115361,9.2
250001115367,6.7
250001115368,7.5
250001115372,13.4
250001115373,13.4
250001115377,0
250001115382,8
250001115383,1.5
250001115386,6.27
250001115387,9.63
250001115388,9.7
250001115389,8.93
250001115390,12.8
250001115391,6.65
250001115396,12.8
250001115402,1.6
250001115405,12.8
250001115408,8.25
250001115409,0.25
250001115413,12.8
250001115416,10.93
250001115417,9.3
250001115418,12.8
250001115419,4.7
250001115421,10.4
250001115422,0.4
250001115423,13.4
250001115425,3
250001115426,10.05
250001115432,13.4
250001115440,2.56
250001115447,13.4
250001115451,6.7
250001115453,13.72
250001115454,13.72
250001115465,6.7
250001115466,8.53
250001115471,12.8
250001115472,9.6
250001115473,6.5
250001115480,6.65
250001115481,10.9
250001115485,0.03
250001115491,12.8
250001115492,6.7
250001115494,10.05
250001115496,6.7
250001115497,5.4
250001115498,5.74
250001115500,13.6
250001115503,13.4
250001115504,10
250001115506,12.8
250001115513,6.5
250001115514,8.1
250001115517,0
250001115523,10.2
250001115524,6.7
250001115530,4.02
250001115532,12.8
250001115533,0.4
250001115535,13.4
250001115536,6.4
250001115538,13.4
250001115539,6.7
250001115540,12.8
250001115541,12.8
250001115542,6.4
250001115543,6.4
250001115544,12.8
250001115550,1.2
250001115551,10.85
250001115555,0.4
250001115556,0.5
250001115562,4.7
250001115563,0.3
250001115566,10
250001115568,5
250001115569,1.2
250001115572,0.2
250001115573,13.4
250001115574,13.4
250001115580,10.2
250001115582,1.45
250001115583,3.35
250001115584,13.6
250001115585,12.8
250001115586,13.6
250001115587,6.7
250001115590,13.4
250001115595,11.12
250001115596,13.4
250001115599,3.35
250001115602,13.4
250001115603,13.4
250001115609,0
250001115613,2.76
250001115614,1.83
250001115615,1.17
250001115616,10.06
250001115617,12.8
250001115618,6
250001115619,12.8
250001115624,12.8
250001115625,13.3
250001115626,12.8
250001115628,8.15
250001115629,2.68
250001115631,6.7
250001115632,6.7
250001115634,0
250001115636,12.8
250001115637,0
250001115639,1.87
250001115640,1.24
250001115644,10.05
250001115647,17.4
250001115648,13.4
250001115653,4.48
250001115654,1.6
250001115655,2
250001115656,6.7
250001115657,14.4
250001115659,13.4
250001115660,6.7
250001115661,6.7
250001115662,6.7
250001115663,13.2
250001115668,4.47
250001115669,12.8
250001115670,5.18
250001115671,11
250001115673,12.8
250001115674,1
250001115677,12.5
250001115678,10.05
250001115679,13.4
250001115680,2.61
250001115685,13.4
250001115686,13.72
250001115687,13.72
250001115688,6.65
250001115689,8.53
250001115690,2.5
250001115691,6.7
250001115692,12.8
250001115693,9.3
250001115695,12.8
250001115696,10.94
250001115697,16.6
250001115698,1.5
250001115699,13.4
250001115702,13.4
250001115703,6.4
250001115704,12.8
250001115705,8.93
250001115706,12.9
250001115707,12.8
250001115708,12.8
250001115709,13.4
250001115710,6.7
250001115711,5
250001115712,6.7
250001115713,13.4
250001115714,5
250001115715,9.6
250001115717,6.4
250001115718,12.8
250001115719,2.13
250001115720,11.2
250001115721,12.8
250001115724,12.8
250001115725,12.8
250001115727,12.9
250001115729,12.8
250001115730,8
250001115733,4.57
250001115734,13.72
250001115735,6.4
250001115736,12.8
250001115737,13.4
250001115739,12.8
250001115740,13.4
250001115743,13.4
250001115744,2.25
250001115745,12.8
250001115747,2.9
250001115748,6.4
250001115749,9.4
250001115750,12.8
250001115752,6.7
250001115753,12.8
250001115754,8
250001115755,8.93
250001115756,10.05
250001115758,13.4
250001115760,12.8
250001115761,12.8
250001115764,9.84
250001115767,13.4
250001115770,12.5
250001115771,10.1
250001115773,13.6
250001115774,13.4
250001115777,13.2
250001115778,4
250001115781,12.8
250001115782,12.8
250001115783,13.4
250001115785,12.8
250001115786,12.8
250001115787,12.8
250001115790,6.7
